kDa	P1:1	P1:2	P1:3	P1:4	P1:5	P1:6	P1:7	P2:1	P2:2	P2:3	P2:4	P2:5	P2:6	P2:7
-29.8325	103.6547	74.2773	159.7265	95.3021	0	100.344	0	 	2.1665	9.6622	8.8628	0	3.5612	0
-29.6258	86.2309	74.908	142.1483	95.3837	93.981	103.821	0	 	2.6061	12.7006	9.6566	12.5353	10.5459	0
-29.419	86.2875	93.2621	130.9233	88.3752	88.1416	109.4768	112.9217	 	12.6809	4.6914	7.5908	9.0048	10.3514	10.1132
-29.2122	84.8413	85.9232	127.2164	86.9882	92.5795	98.2716	124.7809	 	10.0972	1.5731	9.0805	3.9744	11.8129	3.1863
-29.0055	74.8373	83.6853	123.7908	86.5243	101.4089	98.1849	118.8178	 	7.5151	5.1715	9.4698	13.1396	7.5366	5.7414
-28.7987	71.2452	96.3553	134.8055	92.16	102.1735	98.5404	117.3333	 	4.8634	6.9937	10.0757	19.9814	6.5955	5.0219
-28.5919	82.5635	102.1027	143.4171	97.7854	95.0082	108.3128	119.9476	 	7.9487	5.0315	11.9261	12.1417	4.2545	1.8828
-28.3851	88.0872	107.8785	162.4631	80.2317	90.4216	103.5663	121.88	 	4.3592	8.8736	10.7133	4.4691	5.478	1.5625
-28.1784	81.7236	107.8778	176.2044	94.6096	77.0791	106.7574	122.6376	 	1.8842	5.3491	6.5128	3.2952	5.5991	1.5625
-27.9716	80.2639	124.7784	148.2273	87.2087	83.566	101.1059	126.3305	 	4.8313	6.2749	5.9413	2.2559	6.9216	2.6459
-27.7648	71.808	127.579	111.6394	76.3089	90.6879	86.8846	127.3918	 	4.0012	6.5339	5.6775	5.2461	8.2424	7.4678
-27.5581	70.989	118.2105	109.1448	69.931	99.88	82.9323	118.7163	 	7.8754	3.4234	3.9736	6.1553	3.8018	6.7231
-27.3513	67.3258	98.6585	110.2325	70.5968	109.8251	81.3834	123.2662	 	7.6376	6.2662	2.2261	3.1571	2.6344	12.027
-27.1445	66.6141	87.4551	101.6899	76.4294	101.7829	84.3609	143.9671	 	8.9518	2.6999	3.2354	8.0861	2.1176	10.41
-26.9377	68.025	85.359	103.9641	81.7226	77.6411	98.3407	155.9787	 	8.0819	2.1925	2.8305	4.6184	1.5625	10.8052
-26.731	77.1564	75.017	96.23	83.9572	72.0568	101.2443	155.8207	 	1.5711	3.6802	1.6161	2.7167	1.6075	5.5584
-26.5242	76.8209	67.4026	92.476	91.9416	82.299	101.9046	136.6861	 	4.4444	2.2197	1.5632	6.1039	5.7989	10.4772
-26.3174	74.7339	66.0773	91.0468	95.5009	82.4066	110.7666	126.4303	 	8.3568	1.6151	3.0652	4.8862	5.9912	7.6778
-26.1107	82.2637	65.4477	94.5207	83.4389	80.85	110.2998	131.8873	 	5.8644	2.0857	6.1197	2.2665	3.0403	3.1523
-25.9039	76.0744	61.7749	91.5726	75.8669	88.012	101.3236	145.0889	 	1.6485	4.2501	5.4889	6.8387	1.9038	6.051
-25.6971	79.2571	63.3229	92.8631	71.6586	95.8007	100.4259	163.9207	 	2.3607	2.0426	3.2301	7.9204	1.5625	6.4147
-25.4904	78.9306	65.5099	108.5669	66.6332	96.8527	93.405	144.4277	 	4.3242	1.5706	2.809	3.5998	1.5625	6.6364
-25.2836	76.1091	75.2817	112.0033	70.9178	104.1291	85.5658	109.1262	 	5.5784	1.732	1.5716	2.7484	2.7391	7.4266
-25.0768	75.9885	73.0971	120.8414	68.3562	115.7977	95.0822	108.1283	 	5.9896	3.0256	1.5625	2.6122	7.7284	5.3183
-24.87	72.4091	77.1693	115.741	73.7422	111.809	100.7388	111.3085	 	3.0881	3.2176	1.9981	5.2418	7.9509	5.2263
-24.6633	69.8978	68.0055	109.5245	87.6358	99.7287	109.821	106.7412	 	1.6644	1.9122	5.3903	5.4901	4.6352	2.7517
-24.4565	67.1201	83.5165	119.139	77.038	94.2635	125.4438	114.1728	 	1.5625	1.5625	9.7232	7.2759	7.9242	3.6289
-24.2497	56.9526	66.1148	117.8617	77.8866	99.3531	118.6061	119.5922	 	1.7863	1.6658	7.951	9.1729	5.1899	4.7641
-24.043	54.2765	66.7512	129.6065	77.3928	102.3266	112.7912	118.5264	 	2.5594	3.211	5.0377	4.6907	6.1158	2.7716
-23.8362	62.0697	74.0924	141.5713	82.5871	101.7063	112.9823	124.7535	 	1.8353	4.6071	1.7138	7.2974	7.4286	6.0738
-23.6294	65.2455	67.6656	147.4247	103.5241	117.8287	108.4988	131.0682	 	3.0498	3.0378	1.5625	7.2151	3.7827	3.8094
-23.4226	64.879	72.6657	146.4993	115.0347	126.6583	93.4525	131.0941	 	6.4682	13.123	1.9226	5.3855	6.384	1.5625
-23.2159	63.9187	75.763	150.5223	120.0816	130.3813	94.5034	138.3131	 	2.5357	8.6574	3.8911	4.0473	2.0702	1.5625
-23.0091	62.9984	87.8853	153.9098	103.307	128.0959	94.5716	143.7578	 	1.5625	2.4055	5.6993	9.3985	3.232	1.5713
-22.8023	59.6528	92.004	160.7279	97.8698	116.3446	96.904	145.2877	 	1.6155	1.5766	3.159	8.7913	5.0393	2.2806
-22.5956	58.7174	77.9335	181.8291	93.1367	124.629	99.7936	150.4598	 	2.1357	2.513	6.2581	4.3303	3.1855	5.0715
-22.3888	61.1264	77.3628	198.8336	110.6376	125.4401	112.9483	142.8649	 	1.7417	2.2007	2.0928	5.0842	1.7607	3.7561
-22.182	64.7645	69.0369	214.4781	103.7573	146.3161	124.2909	135.1433	 	1.7516	1.5683	1.5625	1.7481	2.9812	3.0082
-21.9753	65.0011	72.5131	219.8711	112.1102	155.3385	141.4414	136.7297	 	4.9975	3.46	1.6138	2.4485	7.2022	3.2641
-21.7685	68.2555	75.1132	188.5945	113.9773	150.6569	171.6058	138.3869	 	3.0188	6.2339	1.8349	4.7457	6.322	2.0179
-21.5617	67.8757	80.2603	155.8639	115.9356	137.6428	180.2891	150.6782	 	1.6122	4.481	1.9724	3.9556	7.5029	1.5625
-21.3549	63.5105	83.9643	164.5763	117.764	116.1199	169.6475	166.4389	 	3.5322	1.5635	4.3438	3.5303	2.4549	6.819
-21.1482	62.5039	81.5941	193.3846	136.1851	105.4207	137.1109	168.7924	 	8.4632	1.5625	5.8128	3.3976	1.5625	10.7769
-20.9414	61.0894	76.726	200.6043	150.9031	125.3429	139.4338	156.5463	 	5.2816	1.6384	6.677	5.693	1.6513	9.6856
-20.7346	57.251	77.8252	195.09	157.4356	134.6588	155.2794	153.1727	 	1.5625	3.8457	5.2413	2.5116	2.641	7.7434
-20.5279	58.1669	84.1999	202.2036	161.8835	123.8391	164.7034	150.4508	 	1.5646	4.94	2.9446	3.5712	5.4954	4.0546
-20.3211	65.3989	86.8637	217.1027	162.5757	121.2655	164.8038	126.0159	 	3.4913	1.6211	1.7577	4.2186	6.194	3.4159
-20.1143	68.3904	93.3178	241.5395	137.5812	141.9717	167.1411	120.7791	 	3.4715	1.5625	1.582	8.9893	5.785	4.4356
-19.9075	66.9245	110.0943	245.1664	134.5131	150.3605	176.1134	126.9851	 	3.5457	1.5625	1.8222	6.3411	4.8462	4.4507
-19.7008	83.2421	124.0741	254.285	135.2567	151.9979	181.7304	129.9227	 	4.3858	1.9486	1.727	5.4943	6.3748	1.6468
-19.494	78.4597	130.9935	263.0536	139.5149	164.4112	174.6525	137.6967	 	2.0798	3.9423	2.9418	3.2095	3.0337	2.3529
-19.2872	73.0184	133.1406	243.771	157.874	184.6911	155.326	143.7644	 	1.5685	5.3996	3.5801	4.6076	1.5625	3.6311
-19.0805	71.9571	135.1819	218.5472	168.2121	164.7752	135.9154	137.5171	 	1.5625	1.8027	2.2098	3.2027	1.5625	3.3156
-18.8737	66.8114	147.7135	215.528	176.1262	132.7761	144.8436	117.4732	 	1.5625	1.5625	1.5625	2.2225	1.6631	2.7774
-18.6669	67.7136	145.8742	221.0044	172.9522	112.1551	151.3243	112.4994	 	1.9587	2.8895	1.6429	5.997	4.8309	3.5036
-18.4602	77.4194	136.9699	200.4193	147.3187	116.7041	134.892	108.9946	 	2.4805	6.4265	5.1539	4.7641	3.3042	7.9774
-18.2534	76.2279	150.0013	162.1975	127.1558	116.7722	133.0624	131.5016	 	1.6113	2.4828	6.1045	5.1804	1.5738	7.6813
-18.0466	89.9216	142.826	161.7066	107.416	119.2928	139.3384	131.9379	 	1.5625	3.2796	3.139	2.856	2.3969	5.7205
-17.8398	99.3487	118.825	179.4024	103.7211	117.4664	128.1602	124.8342	 	1.5625	2.5346	3.314	6.0153	2.133	4.5261
-17.6331	98.0503	96.671	185.0658	106.914	114.6224	119.4405	122.6027	 	1.5625	5.4701	2.8694	8.288	1.5759	2.7477
-17.4263	95.2387	104.4356	172.611	91.0979	116.1092	116.6811	127.7187	 	2.4344	2.4576	1.5626	4.6234	6.3502	2.3786
-17.2195	83.8808	102.3209	135.3956	71.6	125.0044	114.3552	123.4197	 	6.1964	3.5962	1.688	3.1027	11.0506	4.749
-17.0128	75.1992	101.1979	107.3855	63.122	104.8316	111.1736	116.0967	 	6.3035	5.4048	2.3129	4.8244	6.6677	6.2331
-16.806	69.3748	83.8782	91.4946	68.127	76.8673	106.0768	121.0578	 	2.22	2.9341	4.4292	6.8921	2.1296	2.6215
